frame_number,event,key_point
1,sound_front,
22,speaker_right_start,greetings
22,sound_right,
50,speaker_right_stop,greetings
50,speaker_left_start,greetings
60,speaker_left_stop,greetings
62,speaker_front_start,greetings
65,sound_left,
78,speaker_front_stop,greetings
79,sound_peudo_front_r,
79,speaker_right_start,intro_proposal
300,speaker_right_stop,intro_proposal
314,speaker_left_start,obj_proposal
325,sound_left,
360,sound_peudo_front_l,
440,speaker_left_stop,obj_proposal
441,speaker_right_start,interjection
453,speaker_right_stop,interjection
456,speaker_front_start,need_info
470,sound_right,
480,sound_front,
644,speaker_right_start,interuption
656,speaker_right_stop,interuption
675,speaker_front_stop,need_info
680,speaker_right_start,share_info
700,sound_right,
740,sound_peudo_front_r,
785,sound_left,
785,speaker_front_start,interjection
790,speaker_front_stop,interjection
795,sound_peudo_front_r,
945,speaker_front_start,interjection
952,speaker_front_stop,interjection
990,non_essential_info_start,
1088,speaker_left_start,interuption
1110,speaker_right_stop,share_info
1110,non_essential_info_stop,
1117,sound_left,
1153,sound_peudo_front_l,
1157,speaker_left_stop,interuption
1160,speaker_left_start,share_info
1335,speaker_left_stop,share_info
1345,speaker_front_start,interjection
1352,sound_right,
1360,speaker_front_stop,interjection
1375,speaker_front_start,init_discussion
1390,sound_front,
1435,speaker_front_stop,init_discussion
1455,speaker_left_start,answer
1455,speaker_front_start,answer
1455,speaker_right_start,answer
1460,sound_right,
1485,speaker_left_stop,answer
1485,speaker_front_stop,answer
1485,speaker_right_stop,answer
1485,sound_front,
1490,speaker_front_start,answer
1595,speaker_front_stop,answer
1614,sound_right,
1615,speaker_right_start,interjection
1615,speaker_front_start,answer
1630,speaker_right_stop,interjection
1640,sound_front,
1735,speaker_front_stop,
1740,speaker_left_start,interjection
1751,sound_right,
1755,speaker_left_stop,interjection
1760,speaker_left_start,open_question
1764,sound_left,
1803,sound_peudo_front_l,
1955,speaker_left_stop,open_question
1965,speaker_front_start,interjection
1973,speaker_front_stop,interjection
1975,speaker_left_start,discuss_open_question
1975,sound_right,
2000,sound_peudo_front_l,
2074,speaker_front_start,interjection
2085,sound_right,
2085,speaker_front_stop,interjection
2105,sound_front,
2117,speaker_left_stop,discuss_open_question
2120,speaker_front_start,discuss_open_question
2122,speaker_right_start,interjection
2131,sound_right,
2134,speaker_right_stop,interjection
2170,sound_front,
2196,sound_left,
2225,sound_front,
2254,speaker_front_stop,discuss_open_question
2255,speaker_left_start,interjection
2260,speaker_right_start,discuss_open_question
2272,speaker_left_stop,interjection
2268,sound_right,
2290,sound_peudo_front_r,
2350,speaker_right_stop,discuss_open_question
2350,speaker_front_start,discuss_open_question
2358,sound_left,
2390,speaker_left_start,interjection
2395,sound_front,
2400,speaker_left_stop,inerjection
2420,speaker_front_stop,discuss_open_question
2420,speaker_right_start,conclusion
2440,sound_right,
2455,speaker_right_stop,conclusion
2470,sound_front,
2458,speaker_front_start,conclusion
2490,speaker_front_stop,
2494,speaker_left_start,interjection
2499,speaker_right_start,interjection
2505,speaker_left_stop,interjection
2509,speaker_left_start,interjection
2509,sound_right,
2509,speaker_front_start,interjection
2519,speaker_right_stop,interjection
2520,speaker_left_stop,interjection
2520,speaker_front_stop,interjection
2525,sound_front,
2528,speaker_right_start,interjection
2535,speaker_right_stop,interjection
2540,speaker_right_start,bye
2540,speaker_front_start,interjection
2550,speaker_front_stop,interjection
2556,speaker_left_start,bye
2560,speaker_right_stop,bye
2569,speaker_front_start,bye
2570,speaker_left_stop,bye
2590,speaker_front_stop,bye